Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,API,Score Label,Compute Score,Result URL,Schema
"Nov 06, 2025 chemeya",MC-80 Liberty 23H2 Vega 64 Riser,Intel Core i5-14600K 3491 MHz (14 cores),3491.0,14,Windows,OpenCL,OpenCL Score,86827,/v6/compute/5149423,v6-compute
"Nov 06, 2025","Micro-Star International Co., Ltd. Modern 14 C7M",AMD Ryzen 5 7530U 2000 MHz (6 cores),2000.0,6,Windows,Vulkan,Vulkan Score,12868,/v6/compute/5149422,v6-compute
"Nov 06, 2025",Xiaomi Redmi Note 10 Pro,Qualcomm Qualcomm 1804 MHz (8 cores),1804.0,8,Android,OpenCL,OpenCL Score,1288,/v6/compute/5149421,v6-compute
"Nov 06, 2025",iPhone 15 Pro,Apple A17 Pro 3780 MHz (6 cores),3780.0,6,iOS,Metal,Metal Score,28280,/v6/compute/5149420,v6-compute
"Nov 06, 2025","SAMSUNG ELECTRONICS CO., LTD. 940XHA",Intel Core Ultra 7 256V 2200 MHz (8 cores),2200.0,8,Windows,OpenCL,OpenCL Score,29089,/v6/compute/5149419,v6-compute
"Nov 06, 2025",GIGABYTE AORUS 16X ASG,Intel Core i7-14650HX 2394 MHz (16 cores),2394.0,16,Windows,OpenCL,OpenCL Score,119409,/v6/compute/5149418,v6-compute
"Nov 06, 2025",rockchip rk3576_tablet,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,Vulkan,Vulkan Score,1504,/v6/compute/5149417,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. ROG Flow X13 GV301RA_GV301RA,AMD Ryzen 7 6800HS 3201 MHz (8 cores),3201.0,8,Windows,OpenCL,OpenCL Score,88726,/v6/compute/5149416,v6-compute
"Nov 06, 2025","Mac17,2",Apple M5 4606 MHz (10 cores),4606.0,10,macOS,OpenCL,OpenCL Score,48733,/v6/compute/5149415,v6-compute
"Nov 06, 2025","iPhone18,3",ARM 4258 MHz (6 cores),4258.0,6,iOS,Metal,Metal Score,37433,/v6/compute/5149414,v6-compute
"Nov 06, 2025",iPhone 16 Pro Max,Apple A18 Pro 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,32666,/v6/compute/5149413,v6-compute
"Nov 06, 2025",HONOR SDY-AN00,ARM MT6895Z/CZA 2000 MHz (8 cores),2000.0,8,Android,OpenCL,OpenCL Score,3420,/v6/compute/5149412,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. ROG Strix G614JZ_G614JZ,Intel Core i7-13650HX 2600 MHz (14 cores),2600.0,14,Windows,OpenCL,OpenCL Score,123489,/v6/compute/5149411,v6-compute
"Nov 06, 2025",To Be Filled By O.E.M. WRX90 WS EVO,AMD Ryzen Threadripper PRO 9995WX s 5460 MHz (96 cores),5460.0,96,Linux,Vulkan,Vulkan Score,422456,/v6/compute/5149410,v6-compute
"Nov 06, 2025",ASUSTeK COMPUTER INC. ASUS TUF Gaming F15 FX506HF_FX506HF,Intel Core i5-11400H 2688 MHz (6 cores),2688.0,6,Windows,OpenCL,OpenCL Score,47768,/v6/compute/5149409,v6-compute
"Nov 06, 2025","iPad15,7",ARM 3444 MHz (5 cores),3444.0,5,iOS,Metal,Metal Score,19842,/v6/compute/5149408,v6-compute
"Nov 06, 2025","Mac17,2",Apple M5 4606 MHz (10 cores),4606.0,10,macOS,OpenCL,OpenCL Score,48681,/v6/compute/5149407,v6-compute
"Nov 06, 2025","SAMSUNG ELECTRONICS CO., LTD. 940XHA",Intel Core Ultra 7 256V 2200 MHz (8 cores),2200.0,8,Windows,OpenCL,OpenCL Score,28281,/v6/compute/5149406,v6-compute
"Nov 06, 2025",iPhone 13 Pro Max,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,21285,/v6/compute/5149405,v6-compute
"Nov 06, 2025",samsung SM-A566E,ARM ARMv8 1950 MHz (8 cores),1950.0,8,Android,OpenCL,OpenCL Score,6888,/v6/compute/5149404,v6-compute
"Nov 06, 2025",samsung SM-S936U,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,20426,/v6/compute/5149403,v6-compute
"Nov 06, 2025",iPhone 16,Apple A18 4040 MHz (6 cores),4040.0,6,iOS,Metal,Metal Score,28016,/v6/compute/5149402,v6-compute
"Nov 06, 2025",vivo V2505A,Qualcomm ARMv8 3628 MHz (8 cores),3628.0,8,Android,Vulkan,Vulkan Score,25892,/v6/compute/5149401,v6-compute
"Nov 06, 2025",MacBook Air (Late 2020),Apple M1 3197 MHz (8 cores),3197.0,8,macOS,OpenCL,OpenCL Score,19680,/v6/compute/5149400,v6-compute
"Nov 06, 2025",nubia NX711J,ARM ARMv8 2016 MHz (8 cores),2016.0,8,Android,OpenCL,OpenCL Score,9281,/v6/compute/5149399,v6-compute
"Nov 06, 2025",iPhone 13 mini,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,18797,/v6/compute/5149398,v6-compute
"Nov 06, 2025",iPhone 13 mini,Apple A15 Bionic 3230 MHz (6 cores),3230.0,6,iOS,Metal,Metal Score,18314,/v6/compute/5149397,v6-compute
"Nov 06, 2025",LENOVO 20MAS2RC00,Intel Core i7-8850H 2592 MHz (6 cores),2592.0,6,Windows,Vulkan,Vulkan Score,5218,/v6/compute/5149396,v6-compute
"Nov 06, 2025 orion1",LENOVO 20MAS2RC00,Intel Core i7-8850H 2592 MHz (6 cores),2592.0,6,Windows,Vulkan,Vulkan Score,5218,/v6/compute/5149395,v6-compute
"Nov 06, 2025",Samsung Galaxy S24,ARM ARMv8 1959 MHz (10 cores),1959.0,10,Android,OpenCL,OpenCL Score,13677,/v6/compute/5149394,v6-compute
"Nov 06, 2025",HP Victus by HP Gaming Laptop 16-s0xxx,AMD Ryzen 5 7640HS 4301 MHz (6 cores),4301.0,6,Windows,Vulkan,Vulkan Score,24375,/v6/compute/5149393,v6-compute
"Nov 06, 2025","iPhone18,2",ARM 4247 MHz (6 cores),4247.0,6,iOS,Metal,Metal Score,45360,/v6/compute/5149392,v6-compute
"Nov 06, 2025",Xiaomi 2410DPN6CC,Qualcomm ARMv8 3532 MHz (8 cores),3532.0,8,Android,OpenCL,OpenCL Score,18635,/v6/compute/5149391,v6-compute
