Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Oct 09, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5579 MHz (32 cores),5579.0,32,Linux,,3257,32866,/v6/cpu/14348305,v6
"Oct 22, 2025",OEM Rack Server,AMD EPYC 9575F 5008 MHz (64 cores),5008.0,64,Linux,,3115,32845,/v6/cpu/14601905,v6
"Oct 28, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3419,32829,/v6/cpu/14717748,v6
"Aug 11, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3404,32790,/v6/cpu/13264613,v6
"Aug 11, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3390,32786,/v6/cpu/13262106,v6
"Aug 11, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3379,32778,/v6/cpu/13267882,v6
"Oct 27, 2025","Gigabyte Technology Co., Ltd. TRX50 AI TOP",AMD Ryzen Threadripper PRO 9975WX s 5675 MHz (32 cores),5675.0,32,Linux,,3461,32755,/v6/cpu/14687637,v6
"Aug 15, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3362,32695,/v6/cpu/13325553,v6
"Aug 15, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3362,32678,/v6/cpu/13325700,v6
"Aug 10, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3379,32677,/v6/cpu/13258457,v6
"Aug 10, 2025",ASUS System Product Name,AMD Ryzen Threadripper PRO 9975WX s 5487 MHz (32 cores),5487.0,32,Linux,,3396,32660,/v6/cpu/13250433,v6
