Uploaded,System,CPU Details,Frequency_MHz,Cores,Platform,User,Single-Core Score,Multi-Core Score,Result URL,Schema
"Nov 05, 2025","iPad17,1",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4190,16689,/v6/cpu/14868671,v6
"Nov 04, 2025","iPad17,1",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4190,15637,/v6/cpu/14838359,v6
"Oct 31, 2025","iPad17,1",ARM 4428 MHz (9 cores),4428.0,9,iOS,,4190,15618,/v6/cpu/14766312,v6
"Oct 26, 2025","iPad17,1",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4190,15839,/v6/cpu/14674633,v6
"Oct 26, 2025","iPad17,1",ARM 4423 MHz (9 cores),4423.0,9,iOS,,4190,15753,/v6/cpu/14673856,v6
"Oct 22, 2025","iPad17,1",ARM 4406 MHz (9 cores),4406.0,9,iOS,,4190,15625,/v6/cpu/14607432,v6
"Oct 16, 2025","iPad17,4",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4190,16552,/v6/cpu/14490196,v6
"Nov 06, 2025","iPad17,1",ARM 4424 MHz (9 cores),4424.0,9,iOS,,4189,15608,/v6/cpu/14876783,v6
"Nov 06, 2025","iPad17,2",ARM 4427 MHz (10 cores),4427.0,10,iOS,,4189,16853,/v6/cpu/14876216,v6
"Nov 05, 2025","iPad17,4",ARM 4426 MHz (10 cores),4426.0,10,iOS,,4189,16877,/v6/cpu/14858994,v6
"Nov 04, 2025","iPad17,1",ARM 4426 MHz (9 cores),4426.0,9,iOS,,4189,15764,/v6/cpu/14848110,v6
"Nov 04, 2025","iPad17,1",ARM 4427 MHz (9 cores),4427.0,9,iOS,,4189,15716,/v6/cpu/14844521,v6
"Nov 02, 2025","Mac17,2",Apple M5 4607 MHz (10 cores),4607.0,10,macOS,,4189,16914,/v6/cpu/14799188,v6
"Oct 26, 2025","iPad17,3",ARM 4414 MHz (9 cores),4414.0,9,iOS,,4189,15141,/v6/cpu/14675299,v6
